sample,local,type,species
FOODSBBG2,BG,FOOD,SB
FOODSBBP3,BP,FOOD,SB
FOODSBBP4,BP,FOOD,SB
FOODSBSC1,SC,FOOD,SB
FOODSBSC2,SC,FOOD,SB
FOODSDBG1,BG,FOOD,SD
FOODSDBP1,BP,FOOD,SD
FOODSDBP2,BP,FOOD,SD
FOODSDSC1,SC,FOOD,SD
FOODSDSC2,SC,FOOD,SD
FORAGERSBBG1,BG,FORAGER,SB
FORAGERSBBG2,BG,FORAGER,SB
FORAGERSBBP3,BP,FORAGER,SB
FORAGERSBBP4,BP,FORAGER,SB
FORAGERSBSC1,SC,FORAGER,SB
FORAGERSBSC2,SC,FORAGER,SB
FORAGERSDBG1,BG,FORAGER,SD
FORAGERSDBG2,BG,FORAGER,SD
FORAGERSDBP1,BP,FORAGER,SD
FORAGERSDBP2,BP,FORAGER,SD
FORAGERSDSC2,SC,FORAGER,SD
GUARDSBBP3,BP,GUARD,SB
GUARDSBSC1,SC,GUARD,SB
GUARDSBSC2,SC,GUARD,SB
GUARDSDBG1,BG,GUARD,SD
GUARDSDSC1,SC,GUARD,SD
GUARDSDSC2,SC,GUARD,SD
HONEYSBBG1,BG,HONEY,SB
HONEYSBBG2,BG,HONEY,SB
HONEYSBBP3,BP,HONEY,SB
HONEYSBBP4,BP,HONEY,SB
HONEYSBSC1,SC,HONEY,SB
HONEYSBSC2,SC,HONEY,SB
HONEYSDBG1,BG,HONEY,SD
HONEYSDBG2,BG,HONEY,SD
HONEYSDBP1,BP,HONEY,SD
HONEYSDSC1,SC,HONEY,SD
HONEYSDSC2,SC,HONEY,SD
LARVAE1SBBP4,BP,LARVAE,SB
LARVAE1SDBP2,BP,LARVAE,SD
LARVAE1SDBP4,BP,LARVAE,SD
LARVAE2SBBP4,BP,LARVAE,SB
LARVAESBBP2,BP,LARVAE,SB
LARVAESBSC2,SC,LARVAE,SB
LARVAESDSC1,SC,LARVAE,SD
NURSESBBG1,BG,NURSE,SB
NURSESBBG2,BG,NURSE,SB
NURSESBBP3,BP,NURSE,SB
NURSESBBP4,BP,NURSE,SB
NURSESBSC1,SC,NURSE,SB
NURSESBSC2,SC,NURSE,SB
NURSESDBG1,BG,NURSE,SD
NURSESDBG2,BG,NURSE,SD
NURSESDBP1,BP,NURSE,SD
NURSESDBP2,BP,NURSE,SD
NURSESDSC1,SC,NURSE,SD
NURSESDSC2,SC,NURSE,SD
POLLENSBBP2,BP,POLLEN,SB
POLLENSBBP3,BP,POLLEN,SB
POLLENSDBG1,BG,POLLEN,SD
POLLENSDBG2,BG,POLLEN,SD
POLLENSDBP1,BP,POLLEN,SD
POLLENSDBP2,BP,POLLEN,SD
POLLENSDSC1,SC,POLLEN,SD
POLLENSDSC2,SC,POLLEN,SD