sample,richness,shannon_index,evenness,local,type,species
FOODSBBG2,21,1.782368228,0.58543442,BG,FOOD,SB
FOODSBBP3,25,1.718857027,0.533992959,BP,FOOD,SB
FOODSBBP4,39,1.401984052,0.382683352,BP,FOOD,SB
FOODSBSC1,71,2.695054263,0.632244114,SC,FOOD,SB
FOODSBSC2,18,1.661856454,0.574962874,SC,FOOD,SB
FOODSDBP1,22,1.511195384,0.48889506,BP,FOOD,SD
FOODSDBP2,71,3.14304623,0.737340434,BP,FOOD,SD
FOODSDSC1,16,1.745823861,0.629672856,SC,FOOD,SD
FOODSDSC2,63,2.5873281,0.62448563,SC,FOOD,SD
FORAGERSBBP3,30,2.575893839,0.757349119,BP,FORAGER,SB
FORAGERSBBP4,21,1.703689961,0.559591856,BP,FORAGER,SB
FORAGERSBSC1,53,2.343343257,0.590219386,SC,FORAGER,SB
FORAGERSDBG1,52,2.70994965,0.685847253,BG,FORAGER,SD
FORAGERSDSC2,33,2.635437593,0.753734275,SC,FORAGER,SD
GUARDSBBP3,39,2.32111132,0.633566879,BP,GUARD,SB
GUARDSBSC2,38,2.829815256,0.777937658,SC,GUARD,SB
GUARDSDBG1,37,1.093864204,0.302932448,BG,GUARD,SD
GUARDSDSC2,33,0.792989371,0.226794696,SC,GUARD,SD
HONEYSBBP3,34,0.587513178,0.166606101,BP,HONEY,SB
HONEYSBBP4,99,3.123380026,0.679716771,BP,HONEY,SB
HONEYSBSC1,37,0.894734422,0.247785866,SC,HONEY,SB
HONEYSDBG1,53,2.094145414,0.527453764,BG,HONEY,SD
HONEYSDBP1,97,2.533226021,0.553745588,BP,HONEY,SD
HONEYSDBP3,105,2.83479549,0.609114663,BP,HONEY,SD
HONEYSDSC1,105,2.91895033,0.627197077,SC,HONEY,SD
LARVAE1SBBP4,13,1.302671039,0.50787398,BP,LARVAE,SB
LARVAE1SDBP4,6,0.173557662,0.096864376,BP,LARVAE,SD
LARVAE2SBBP3,9,0.592076527,0.26946564,BP,LARVAE,SB
LARVAE2SBBP4,9,1.103194657,0.502085526,BP,LARVAE,SB
LARVAE3SBBP4,16,1.133921922,0.408975883,BP,LARVAE,SB
LARVAESBBG2,12,1.120657799,0.450985875,BG,LARVAE,SB
LARVAESBBP1,15,1.03473069,0.382094353,BP,LARVAE,SB
LARVAESBBP2,8,0.902953146,0.434228675,BP,LARVAE,SB
LARVAESBSC1,13,2.05888087,0.802698449,SC,LARVAE,SB
LARVAESBSC2,13,1.505630031,0.587001855,SC,LARVAE,SB
NURSESBBG1,18,2.278343565,0.788252777,BG,NURSE,SB
NURSESBBP3,27,1.231986241,0.373800735,BP,NURSE,SB
NURSESBBP4,35,2.798440434,0.787107306,BP,NURSE,SB
NURSESBSC1,37,2.553738712,0.707227019,SC,NURSE,SB
NURSESBSC2,21,1.908063473,0.626720122,SC,NURSE,SB
NURSESDBG2,17,1.949441162,0.688067196,BG,NURSE,SD
NURSESDSC2,20,2.14473428,0.715929891,SC,NURSE,SD
POLLENSBBP2,15,1.89242186,0.698813434,BP,POLLEN,SB
POLLENSBBP3,32,1.613593839,0.465584766,BP,POLLEN,SB
POLLENSDBG1,55,1.263723488,0.315352737,BG,POLLEN,SD
POLLENSDBG2,82,1.924052268,0.436617846,BG,POLLEN,SD
POLLENSDBP1,69,2.351839274,0.555451137,BP,POLLEN,SD
POLLENSDBP2,19,2.128115355,0.7227575,BP,POLLEN,SD
POLLENSDSC1,68,2.818971153,0.66808058,SC,POLLEN,SD
POLLENSDSC2,33,1.362001057,0.389531849,SC,POLLEN,SD